time:1738941202.3770268;fps:294
time:1738941203.378519;fps:338
time:1738941204.380198;fps:327
time:1738941205.3812013;fps:288
time:1738941206.38192;fps:269
time:1738941207.3831096;fps:366
time:1738941208.3839114;fps:343
time:1738941209.3842552;fps:349
time:1738941210.3846471;fps:342
time:1738941211.3871663;fps:352
time:1738941212.3894904;fps:361
time:1738941213.3905842;fps:364
time:1738941214.3907385;fps:365
time:1738941215.3931105;fps:243
time:1738941216.3956962;fps:343
time:1738941217.3993063;fps:359
time:1738941218.400338;fps:335
time:1738941219.4055107;fps:298
time:1738941220.4070587;fps:341
